company,job title,location,job description,salary estimate,company_size,company_type,company_sector,company_industry,company_founded,company_revenue
etrailer.com,Data Engineer/Data Scientist,Remote,"Mid-to-Senior Level Data Engineer/Data Scientist
Salary:100,000-180,000 yearly

Get to know etrailer.com
etrailer.com is an industry leader in helping people lead fulfilling lives by empowering them to complete work, go on vacations, and experience the outdoors. We achieve this through unmatched industry expertise, putting the customer first, and expert service. We want to supercharge our customer interactions to provide individualized, incredible customer experiences.

We are looking for...
etrailer.com is looking for experienced Data Engineers/Data Scientists that will be key players in propelling the company beyond its current capabilities. Preferred candidates will be able to suggest and implement solutions with new toolsets, methodologies, and industry standards to help improve the etrailer data ecosystem.

Required Qualifications
Bachelor's degree in Computer Science, Electrical/Computer Engineering, Statistics, Mathematics, or other related fields with 5 years of experience OR Master's degree in Data Science or Data Engineering with 3 years of experience
Strong Python experience
SQL experience
Nice to Have Qualifications
Azure experience
Splunk experience
C# experience
Experienced in designing, implementing, and maintaining data capture and data processing solutions. Some example technologies include:
Kafka
SQL
Splunk
Python
C#
Experienced in designing, implementing, and maintaining monitoring, alerting, and visualization solutions. Some example technologies include:
Splunk
Power BI
Tableau
Experienced in designing, implementing, and maintaining machine learning solutions through the entire model life cycle. Some example technologies include:
Python
Azure cloud
Data bricks
ML Flow
Show Less
Report",$1L - $2L,501 to 1000 Employees,Company - Private,Retail & Wholesale,Automotive Parts & Accessories Stores,1946,$100 to $500 million (USD)
"Vorys, Sater, Seymour and Pease LLP.",Senior Data Engineer,"Akron, OH","Precision eControl is all about helping brands better manage their eCommerce presence on Amazon and other online marketplaces. As a Senior Data Engineer, you will be part of a team that creates innovative, cutting edge, one of a kind solutions that are revolutionizing how brands manage online marketplace sales.
Position Summary
The Senior Data Engineer for the Azure infrastructure will be responsible for the day to day operations of a large data warehouse, and will work closely with the business, product team, and the technical staff to ensure alignment to goals and objectives. Utilizing experience with Big Data, this position will drive consensus on designs of stable, reliable and effective dynamic ETL pipelines leveraging Azure Synapse Analytics Pipelines.
Essential Job Functions
Drive consensus on designs of stable, reliable and effective dynamic ETL pipelines leveraging Azure Synapse Analytics Pipelines.
Perform root cause analysis on internal and external data and processes to answer specific business questions and identify opportunities for improvement.
Design, implement, and document data load processes from disparate data sources into Azure Synapse Pipelines.
Work with Continuous Integration/Delivery using Azure DevOps and Github.
Provide data management, monitoring, troubleshooting and support to client success
Create various triggers to automate the pipeline in Azure Synapse Analytics Pipelines.
Tune SQL queries in Azure SQL DB, Azure Synapse and solve complex data challenges and deliver insights that help our customers achieve their goals.
Self-organize as part of a small-size scrum team and apply data engineering skills.
Follows industry best practices and meets company’s security and performance and requirements
Knowledge, Skills and Abilities
Minimum three (3) years’ experience with MS SQL/T-SQL
Minimum three (3) years’ experience with Azure SQL
Minimum three (3) years’ experience with Apache Spark (PySpark)
Minimum of three (3) years’ experience with Azure Data Factory or Azure Synapse building dynamic ETL pipelines
Minimum three (3) years' experience building dynamic Spark notebooks in Azure Synapse Spark or Azure Databricks
Minimum three (3) years’ experience with Python
Minimum two (2) years’ experience with a public cloud (AWS, Microsoft Azure, Google Cloud)
Experience working with parquet, json , delta, avro and csv files
In-depth understanding of data management (e.g. permissions, recovery, security and monitoring)
Experience with Data Warehouse Architecture
Strong analytic skills related to working with structured, semi-structured and unstructured datasets.
Excellent analytical and organization skills required
Ability to understand user requirements
Client service mindset
Excellent verbal and written communication skills
Excellent problem solving skills
Familiarity with Agile frameworks a plus
Education and Experience
Bachelor's degree in related discipline or combination of equivalent education and experience
7-10 years of experience in similar field
Precision eControl LLC does not discriminate in hiring or terms and conditions of employment because of an individual’s sex, race, age, religion, national origin, ancestry, color, sexual orientation, gender identity, genetic information, marital status, military/veteran status, disability or any other characteristic protected by local, state or federal law. Precision eControl only hires individuals authorized for employment in the United States.
Show Less
Report",$87T - $1L,501 to 1000 Employees,Company - Private,Legal,Legal,1909,Unknown / Non-Applicable
Xiar tech inc,Senior Data Engineer,"Dallas, TX","· 5+ Years’ experience in Data Engineering
· 1 year experience with Nexla or similar data ingestion & engineering tools
· 4+ years’ experience in SQL/SnowSQL
· 2+ Years’ thorough experience in Python coding and packages
· 4+ years of overall Data Integration experience with 2+ experience in Data Engineering.
· 2+ years’ experience in large volume File processing with different types and formats
· Experience in Orchestration Tools - Airflow
· Understanding of dimensional and relational data modeling.
· Understanding of BI/DW development methodologies.
Job Types: Full-time, Contract
Salary: $42.96 - $60.84 per hour
Schedule:
8 hour shift
Day shift
Ability to commute/relocate:
Dallas, TX: Reliably commute or planning to relocate before starting work (Required)
Experience:
Informatica: 1 year (Preferred)
SQL: 1 year (Preferred)
Data warehouse: 1 year (Preferred)
Work Location: One location
Show Less
Report",$42.96 - $60.84 Per hour,1 to 50 Employees,Company - Public,#N/A,#N/A,#N/A,Unknown / Non-Applicable
Avaap,Data & Analytics - Data Engineer,"Columbus, OH","Data & Analytics – Data Engineer

Avaap is looking for a Data Engineer; someone that has a deep appreciation for all things data and has the experience and skills to use data to drive tangible value. You may come from a traditional business intelligence background, or your experience may be fully immersed in the modern analytics landscape; either way, you hold a vast level of experience with key data engineering principles, techniques, tools and methodologies.

Technical Solutioning – you have the depth and skill to fully own key components/workstreams related to the conceptual development of complex technical solutions from design through deployment and operations. As a Data Engineer, you are versed in fully understanding the big picture when it comes to data engineering/data solutioning and have a keen eye for details to design, develop and deploy every component that you have been assigned. While you have strong articulation skills to describe a technical solution and can help communicate its key features and capabilities to others with ease, you prioritize your contributions by example by rolling up your sleeves and doing hands on development using a variety technologies, tools, and techniques.

Project Delivery – you have the experience to understand and appreciate that no matter how cool a technical data solution is, it is worthless if it never gets built and delivered correctly. As a Data Engineer, you are focused on developing strong work plans that align to the overall delivery approach for your team to design, develop and deploy a technical data solution. You understand the value of a work break down structure and have 10+ years of experience in developing project delivery plans related to the design and development of key pieces to large and complex data solutions. You see the value of project management techniques in whatever combination of waterfall, agile and/or a hybrid approach and can develop and execute upon project delivery plans. Your communication skills and experiences as a delivery leader are critical and you make sure to keep everyone from individual contributors on your team to your project leaders, and clients in the loop about progress, with an emphasis on communicating across organizations and levels. If critical issues block progress, refer them up the chain of command to be resolved in a timely manner.

People Management – let us be real, not even the smartest and most talented Data Engineer can do it by her/himself; everyone needs a team and Avaap prides itself on a team first culture. You have 10+ years of experience leading teams of consultants (and sometimes client resources) through complex and transformative delivery efforts on the workstreams you will manage. Your experience as a Data Engineer is to be a leader for your workstream and you bring the requisite people skills that establish a healthy and respectful culture on your projects and for your teammates. As a Data Engineer, you embrace being positioned as a mentor for many junior resources that may be on your projects. You positively influence less experienced, junior resources to support not only their project contributions, but also support their professional development/career roles by providing them key insights from your own working experiences.

Desired Experiences and Skills

Academic studies or equivalent experience related to Computer Science, Engineering, Technical Science with 5+ years of experience in programming and building large scale data/analytics solutions operating in production environments.
Experience in a variety of Cloud platforms, most specifically AWS, Azure, and/or Google
You have experience in Big Data/analytics/information analysis/database management/ event-driven/microservices/DevOps/ML Ops in the cloud
Deep fluency and skills with SQL.
Strong, hands-on experiences with the following data engineering technologies and languages:
Python / R / SaS / Scala / Go
Experience in distributed data computing framework such as Spark, MapReduce
Minimum Qualifications

Must have excellent verbal and written communication skills along with the ability to communicate effectively
Must be able to perform work indoors and remain stationary at a computer
Ability to work in a fast-paced and deadline-oriented environment
Passion for exceptional customer service and collaboration
Ability to work remotely or out of one of Avaap’s physical office locations
Current permanent U.S. work authorization required
Show Less
Report",$90T - $1L,201 to 500 Employees,Company - Private,Information Technology,Information Technology Support Services,2006,Unknown / Non-Applicable
InfoQuest Consulting Group Inc.,Data Engineer,"Philadelphia, PA","Duration & Type: 12 months Contract with a media & communications industry client
Location: Philadelphia, PA
No. of Positions: Multiple
Responsibilities:
Develop solutions to big data problems utilizing common tools found in the ecosystem.
Develop solutions to real-time and offline event collecting from various systems.
Develop, maintain, and perform analysis within a real-time architecture supporting large amounts of data from various sources.
Analyze massive amounts of data and help drive prototype ideas for new tools and products.
Design, build and support APIs and services that are exposed to other internal teams
Employ rigorous continuous delivery practices managed under an agile software development approach
Ensure a quality transition to production and solid production operation of the software
Required:
5+ years programming experience
Bachelors or Masters in Computer Science, Statistics or related discipline
Experience in one or more languages: Python, Scala/Java, Spark, Batch, Streaming, ML
Experience with Python unit testing and code coverage frameworks
Experienced in NoSQL / SQL, Microservice, RESTful API development
Strong Experience with AWS Core such as Kinesis, Lambda, API Gateway, CloudFormation, CloudWatch
Experienced with one of the Analytics tools – Presto / Athena, QuickSight, Tableau
Strong Experience with Container technologies and Real-time Streaming (such as Kafka, Kinesis)
Preferred:
Test-driven development/test automation, continuous integration, and deployment automation experience
Experience with Performance tuning at scale
Experience working on big data platforms in the cloud or on traditional Hadoop platforms
Experience working in agile/iterative development and delivery environments
Enjoy working with data – data analysis, data quality, reporting, and visualization
Great design and problem solving skills, with a strong bias for architecting at scale
Excellent communication skills
Experience in software development of large-scale distributed systems
For consideration, please send resume to career@infoquestgroup.com
Show Less
Report",$89T - $1L,1 to 50 Employees,Company - Private,Information Technology,Computer Hardware Development,#N/A,Less than $1 million (USD)
Orion Innovation,Data Engineer-Databricks,"Edison, NJ","Orion Innovation is a premier, award-winning, global business and technology services firm. Orion delivers game-changing business transformation and product development rooted in digital strategy, experience design, and engineering, with a unique combination of agility, scale, and maturity. We work with a wide range of clients across many industries including financial services, professional services, telecommunications and media, consumer products, automotive, industrial automation, professional sports and entertainment, life sciences, ecommerce, and education.
Job Description

Designing and implementing highly performant data pipelines from multiple sources using Databricks
Integrating the end to end data pipeline to take data from source systems to target data repositories ensuring the quality and consistency of data is maintained at all times
Working with other members of the project team to support delivery of additional project components (API interfaces)
Evaluating the performance and applicability of multiple tools against customer requirements
Working within an Agile delivery / DevOps methodology to deliver proof of concept and production implementation in iterative sprints.
Integrate Databricks with other technologies (Ingestion tools, Visualization tools)

Knowledge, Skills, and Abilities:
Proven experience working as a data engineer
Highly proficient in using the spark framework (python and/or scala)
Extensive knowledge of Data Warehousing concepts, strategies, methodologies.
Programming experience in Scala or Python, SQL
Direct experience of building data pipelines using Apache Spark (preferably in Databricks).
Hands on experience designing and delivering solutions using Azure, including Azure Storage, Azure SQL Data Warehouse, Azure Data Lake/ADLS Gen)
Experience with ingestion tools (nifi/azure cloud factory
Experience with big data technologies (hadoop)
Experience with Databricks
Must be team oriented with strong collaboration, prioritization, and adaptability skills required
Skills required:
Data Lake/ ADLS Gen 2
Databricks
Scala, Python, PySpark

Orion is an equal opportunity employer, and all qualified applicants will receive consideration for employment without regard to race, color, creed, religion, sex, sexual orientation, gender identity or expression, pregnancy, age, national origin, citizenship status, disability status, genetic information, protected veteran status, or any other characteristic protected by law.
Candidate Privacy Policy
Orion Systems Integrators, LLC and its subsidiaries and its affiliates (collectively, ""Orion,"" ""we"" or ""us"") are committed to protecting your privacy. This Candidate Privacy Policy (orioninc.com) (""Notice"") explains:
What information we collect during our application and recruitment process and why we collect it;
How we handle that information; and
How to access and update that information.
Your use of Orion services is governed by any applicable terms in this notice and our general Privacy Policy.
Show Less
Report",$59T - $88T,5001 to 10000 Employees,Company - Private,Information Technology,Information Technology Support Services,1993,$100 to $500 million (USD)
CODAMETRIX,Data Science Engineer III,"Boston, MA","CodaMetrix (CMX) is a multi-specialty coding AI-platform that translates clinical information into accurate sets of medical codes for patient care and revenue cycle processes, from fee-for-service to value-based care models.
We are passionate about getting doctors away from the keyboard and back to clinical care.
This is a remote position.
Job Description
At CodaMetrix, the machine learning (ML) and AI team is responsible for the invention, analysis, and deployment of new ML techniques using healthcare data to improve administrative and clinical medicine. This includes a deep understanding of the data, and any required data normalization processes and techniques.
We are looking for an experienced Data Science Engineer to join our machine learning team and help with translating proof-of-concept ideas to product grade solutions. The Data Science Engineer III will work closely with data scientists, product owners, and backend engineers to gather requirements and understand performance criteria to deliver solutions that bring our AI-driven robust and scalable products to market. The Data Scientist Engineering III primary focus areas will be building CMX infrastructure to run on AWS technologies, data ingestion, data lake utilization, data cleaning and deploying machine learning research experiments into production. This position will help architect, design, and deliver a new machine learning pipeline built on new technologies and as part of that effort work with the team to implement a new data normalization pipeline. The Data Science Engineer III reports to the Chief Data Scientist.
Responsibilities
Establish processes for data and modeling lifecycle through managing the transitions from proof-of-concept to production
Promote for best practice software development principles
Implement and test machine learning and deep learning techniques at scale
Analyze the quality and calibration of predictive models
Collaborate with machine learning, engineering, and product development teams, for deployment of new machine learning techniques and follow deployments, tracking issues, and successes
Work with applied research scientists doing experiments and support those experiments with appropriate data all reviewed/normalized
Provide engineering required to update the CMX Machine Learning pipeline supporting the research experiments move to production
Interface with medical coders, administrators, and physicians to understand the strengths and weaknesses of existing products and to help develop new machine learning-empowered products
Requirements
5+ years of experience in professional software development
3 years experience coding in Java
Heavy AWS experience at multiple companies
Fluent with software development best practices, including version control, documentation, testing and CI/CD
Extensive experience with machine learning approaches and an understanding of the analysis and testing processes of machine learning algorithms
Must have experience with AWS, particularly Spark, Cloud watch, Airflow, cloud storage (S3, Redshift) and computing (EC2, EMR)
Experience with SQL and NoSQL Databases, particularly production database systems (e.g. Postgres) and technologies
Proficiency in Python and Pandas
Experience developing in a Linux environment
Experience working in an active engineering development environment using tools to track code reviews, changes, testing
Experience with data collection, transformation, data cleaning, and working with a data lake
Bachelor's degree in software engineering, computer science or a related field with course or project work in machine learning, AI or data science
Beneficial Experience
Exposure to Natural Language Processing approaches
Experience with Spark and similar technologies from Data Bricks or others
Proficiency in Docker
Familiarity in DataBricks.
Familiarity with deep learning approaches such as CNN, RNN and Reinforcement learning
Familiarity with Elasticsearch a plus
Knowledge of US healthcare systems
Master's degree with significant course or project work in a machine learning-related field

About CodaMetrix
CodaMetrix is a well-capitalized, high-growth company focused on solving some of the more interesting yet challenging problems in clinical and healthcare administrative areas. The company was formed by the Massachusetts General Physicians Organization (MGPO) to commercialize and build upon internally developed, and highly utilized AI-driven solutions. CodaMetrix is led by proven entrepreneurs, technology, and healthcare veterans, whose vision is to create a highly desirable atmosphere for technical talent to flourish and develop innovative, significant, reliable, and broadly utilized solutions.
As a high-growth company, our team and responsibilities are constantly evolving. We therefore prioritize creative thinking, strategic problem solving and an enthusiasm for creating innovative, high-quality products for our customers. Together, we are motivated to achieve our mission of reducing the burden in healthcare administration. Candidates eager to develop and expand their skills, learn from highly technical team members and think differently will thrive at CodaMetrix.
Salary Range
$100,000-$180,000

Full-Time Employee Benefits
Learn more about how we take care of our team.
Insurance: We cover 80% of the cost of medical and dental insurance and offer vision insurance.
Retirement: CMX offers a 401(k) plan that eligible employees can contribute to one month after their first day.
Life: We offer employer-paid life insurance and short-term and long-term disability insurance.
Flexibility: We have an unlimited PTO policy so you can take the time you need to relax and rejuvenate.
Learning: All new hires complete our 7-week Fellowship program to learn about each of our departments.
Development: We provide annual performance evaluations and outline a clear path for promotions.
Engagement: We host recurring events like Meditation Mondays, CMX Connections and Socials.
Recognition: We recognize quarterly You've Been Awesome winners and celebrate our team's service milestones.
Background Check
All candidates will be required to complete a background check upon acceptance of a job offer.
Equal Employment Opportunity
Our company, as well as our products, are made better because we embrace diverse skills, perspectives, and ideas. CodaMetrix is an Equal Employment Opportunity Employer and all qualified applicants will receive consideration for employment.
WqeVk8vO8c
Show Less
Report",$1L - $2L,51 to 200 Employees,Company - Public,Information Technology,Information Technology Support Services,2018,Unknown / Non-Applicable
Skill Quotient,SAS/ Data Engineer,"Auburn Hills, MI","Job Title: SAS/ Data Engineer
Location: Auburn Hills, MI Hybrid role)
Local candidates required. Will be on site 1 - 2 days per week. Will consider candidates that are committed to relocation from day 1 (EST or CST), nearby states are best for this.
Client: Bank/Financial Services
Duration: 12/29/23, Likely to extend
Required Skills: Please do not submit candidates that do not have these requirements or are not local at this time. If you have someone able to relocate prior to day 1 that is exceedingly good I may be able to consider after some time.
5+ years of experience with SAS Configuration and Integration.
2+ years of experience with Prism (Workday) AND / OR Adenza regulatory reporting tools REQUIRED. (Both would be preferred)
Banking / Financial Services background.
Regulatory reporting and/or Data/Big Data experience (should go along with the Prism and/or Adenza experience).
Agile experience is a big plus
Data / Big Data / SAS Engineer (Regulatory Reporting Project)
Will be part of a new team working on a regulation reporting project (100B Asset Project)
At 100B in assets more governmental / regulatory reporting is required and the client is preparing for this.
Seeking a Data / Big Data / SAS Engineer with some reporting experience.
2 rounds of interviews. Can be local to Detroit area (Auburn Hills, MI) or Dallas area (Plano, TX).
Qualified candidates will have Engineering background or possibly Prism Developers.
Job Type: Contract
Schedule:
8 hour shift
Monday to Friday
Ability to commute/relocate:
Auburn Hills, MI 48321: Reliably commute or planning to relocate before starting work (Required)
Experience:
SAS: 5 years (Required)
Prism workday: 3 years (Required)
Adenza: 3 years (Required)
Work Location: One location
Show Less
Report",$73T - $1L,1 to 50 Employees,Company - Public,Information Technology,Information Technology Support Services,2016,Unknown / Non-Applicable
Mashvisor Inc.,Data Science Engineer,Remote,"Build the solution that transforms the real estate industry!
We are looking for a Data Science Engineer superhero with a sixth sense for data who can ignite our day-to-day activities with their creativity.
Want to infuse a $30B+ sector of the insurance and real estate industry with predictive analytics and a tech-forward customer experience? Looking for a fully remote startup culture supported by a profitable business model? Join Mashvisor and help us build an entirely new type of real estate model.

Our Values

Customer Obsessed – We always put our customers first.
Solution Driven – We solve problems that other people are afraid to.
Product led: We are always one step ahead of our customer's needs and create / add features they love every time
One Team – We believe inclusion and teamwork produce the best results.
Open and Direct – We communicate with honesty and respect to our colleagues, customers, and partners.

What You’ll Do
Designing, developing, and researching Machine Learning systems, models, and schemes
Studying, transforming, and converting data science prototypes
Searching and selecting appropriate data sets
Performing statistical analysis and using results to improve models
Training and retraining ML systems and models as needed
Identifying differences in data distribution that could affect model performance in real-world situations
Visualizing data for deeper insights
Analyzing the use cases of ML algorithms and ranking them by their success probability
Understanding when your findings can be applied to business decisions
Enriching existing ML frameworks and libraries
Verifying data quality and/or ensuring it via data cleaning

What You’ll Need
BS or Masters degree in Mathematics, Statistics, Economics, Data Science or another quantitative field
3+ years of hands-on experience utilizing data science to manage, enhance and develop models and deploy solutions to solve complex business problems
Expertise in SQL and programming in SQL, R, Python, C++, Java, and beneficial to know Lisp and Prolog
Strong organizational, interpersonal, and communication skills (both written and verbal)
A bias towards solving problems from a customer-centric lens and an intuitive sense for how the work aligns closely with business objectives
Solid experience with managing databases and datasets and structuring and optimizing the framework
A thorough understanding of SQL databases
Bonus: background in US real estate data, insurance or financial markets analysis
The ideal candidate will be a creative problem solver with an excellent work history on data analytics projects.

We want the work you do here to be the best work of your life.
Compensation: We offer a great salary with a yearly bonus based on performance.
Attitude: Work with a Can-Do team across the world.
Freedom: Work anywhere, anytime.
Time Off: Yearly vacations and sick leaves.
Responsibility: Ability to excel in a fully remote work environment.
Are you the one?
Show Less
Report",#N/A,1 to 50 Employees,Company - Private,#N/A,#N/A,2015,Unknown / Non-Applicable
Zillion Technologies,Sr. Data Engineer (ETL development),"Richmond, VA","Job Title: Sr. Data Engineer - Hybrid
Location: Richmond Virginia 23060
JOB DESCRIPTION
Position Description
The Senior Data Engineer is a senior technical role in supporting the information management architecture of the Enterprise Data Warehouse solution. The role will be actively responsible for designing the data acquisition, data staging, loading, and transformation into the Enterprise Data Warehouse. This role will be a technical expert and resource collaborating with the Data Architect, Software Engineers, Product Owners, and Project Team to develop and deliver data storage and movement solutions and to organize and oversee the loading of data into the related systems. Additionally, the Senior Data Engineer will bridge gaps related to Business Intelligence functions, supporting the analytics produced by the organization, and providing expertise tying data movement together with data consumption.
Position Accountabilities:
Design and develop complex ETL solutions using data warehouse design best practices
Analyze data requirements, data models, and determine the best methods in extracting, transforming and loading the data into the data staging, warehouse and other system integration projects
Create complex business intelligence reports and data visualizations using tools like Python, Tableau, and PowerBI
Analyze business requirements and outline solutions
Validate code against business and architectural requirements
Create and test prototypes
Troubleshoot applications and resolve defects
Work within an agile framework
Plan, Prioritize and Deliver Resilient, Scalable technical solutions
Communicate ideas in both technical and user friendly language
Update and maintain product documentation
Escalate issues and impediments in a timely manner
Work within established framework and processes (Agile)
Collaboratively work with Agile teams, as well as independently
Perform and coordinate unit and system integration testing when required
Participate in peer programming, mobbing, hackathons, and code reviews as required
Support and occasionally lead business intelligence efforts, data analytics efforts, and data governance/quality efforts.
Position Qualifications:
Education & Experience:
A Bachelor’s Degree or a combination of equivalent work experience
7+ years of previous experience in information technology, preferably within the financial services or other highly-regulated industry
5+ years ETL development experience
3+ years of Business Intelligence, Data Analytics, or Data Science experience
3+ years of experience in an Agile environment
Knowledge of ETL and data warehouse design
Experience using Python for data movement/manipulation
Extensive experience with data dictionaries, data analysis and relational databases
Experience with a business intelligence toolset
Preferred Qualifications:
A Master’s Degree in a technology area of study; preferably in Computer Science, MIS or Analytics.
Knowledge & Skills:
Creative problem solver with excellent communication, leadership and collaboration skills.
Advanced decision making and problem solving skills
Business acumen, knowledge and professionalism
Proactive leadership style and a self-starter and strong attention to detail
A clear and familiar understanding of the concepts and best practices of data warehouse ETL design
Demonstrable expertise with RDBMS or Big Data technology
Foundational Database administration skills; Broad DW skills including Semantic Layer, Basic BI Development and basic data modeling & data analysis
Methodical and structured approach to design and development.
Delivery focused with the ability to prioritize activities.
Flexible team player within a small, multi-disciplinary team.
Job Types: Full-time, Contract
Pay: $70.00 - $80.00 per hour
Experience level:
8 years
Schedule:
8 hour shift
Monday to Friday
Ability to commute/relocate:
Richmond, VA: Reliably commute or planning to relocate before starting work (Required)
Application Question(s):
Work Authorization?
Experience:
ETL development: 5 years (Preferred)
Business Intelligence, Data Analytics, or Data Science: 3 years (Preferred)
Agile environment: 3 years (Preferred)
Work Location: One location
Show Less
Report",$70.00 - $80.00 Per hour,201 to 500 Employees,Company - Private,Management & Consulting,Business Consulting,#N/A,$5 to $25 million (USD)
ComResource,Senior Data Engineer,"Columbus, OH","ComResource is looking for a Senior Data Engineer.

The position plays a key role in developing and maintaining enterprise analytics deliverables, including but not limited to operational data stores, data integrations, and reports. The ideal candidate will be working in our mixed technology environment to deliver data products providing decision support for businesses and customers. As part of a highly collaborative team, the role will interact with technical and business resources within and outside of IT organization. The ideal candidate is a committed, creative, self-motivated, and passionate technologist who is interested in practicing current skills and learning new ones.

Responsibilities:
Partner with Business Stakeholders, Business Analysts, Data Engineers, Developers to design enterprise data warehouse components
Provide estimations, schedules, and regular and timely updates to project managers & senior management as needed
Validate proposed design for accuracy and completeness of business use cases
Develop data integration and transformation solutions to meet the input needs of the models
Develop and support batch jobs
Perform unit & regression testing
Perform code/peer reviews to ensure adherence to established design & development standards
Collaborate with development and quality assurance teams for testing and product quality improvements as needed
Produce deployment scripts, checklists, playbook & operations runbook in accordance with SDLC & change management requirements
Take measures to ensure adherence to committed service level agreements
Monitor the scheduled jobs & performance of the platform for smooth operation
Independently and with support from other developers, troubleshoot and fix issues that arise with data and/or processes
Essentials:
Bachelor’s degree in related field (prefer CS major)
10+ years of software development experience
5+ years of development experience in Microsoft BI tools such as SQL Server, SSIS, SSAS and SSRS
5+ years of experience in RDBMS design and development. Must demonstrate a clear mastery of the logical and physical database design (for both transactional and data warehouse) and data normalization concepts
3+ years of experience in Azure using Data Factory, Databricks & ADLS
Experience working in visual studio development environment and with using DevOps platforms for code management and deployment using CI/CD techniques
Familiarity with SDLC and agile methodologies
Experience in source control tools such as TFS or Git
Experience in communicating with users, other technical teams, and management to collect requirements, identify tasks, provide estimates, and meet production deadlines
Experience with professional software engineering best practices for the full software development life cycle, including coding standards, code reviews, source control management, build processes, testing, and operations
Understand and work in an Agile development environment
Desired:
Experience in designing & building BI Reporting solutions, preferably using Power BI
System and networking fundamentals
Knowledge/experience in Education or Aviation industry
Show Less
Report",$95T - $1L,201 to 500 Employees,Company - Private,Information Technology,Information Technology Support Services,1991,$25 to $50 million (USD)
Numentica LLC,AWS Principal Data Engineer,"Lehi, UT","What you will do:
Be responsible for leading the data engineering, analysis, architecture, design, and development of cloud database solutions
Be a technical team member who designs and develops data platform solutions
Uses common data architecture practices to architect, design, and develop data/analytic platforms (e.g. data warehouses, data lakes) that are used to produce analytic products, like reports, dashboards, ML models, etc
Be responsible for moving, integrating, and cleansing data
Work on highly collaborative agile teams, can break down their work from stories into tasks, identify dependencies, and test and confirm acceptance criteria of work
As a Principal in our business you will:Be a self-starter, effective in breaking down large problems into smaller ones, and eager to regularly share what you learn with others within your projects and in the broader team
Supports people processes in capability / account (e.g., talent acquisition, onboarding, staffing, performance management)
Expand trusted relationships beyond primary customers and teams growing and managing professional network
What you should have:
7+ years of experience in leading data engineering work with minimum 3 years of experience as Lead / Principal Architect role for designing database systems for transactional and analytical workload
Strong analytical skills and advanced SQL knowledge.
At least 4 plus years of hands on experience with AWS cloud services: EC2, EMR, Athena
Experience extracting/querying/joining large data sets at scale.
Selecting the appropriate AWS service based on data, database, or security requirements
Identifying appropriate use of AWS architectural best practices
Estimating AWS costs and identifying cost control mechanisms
Build and design secured reference architecture for all in-cloud and hybrid environments. Minimum Job Requirement:
Must be familiar working with CI tool like Jenkins.
Must have good knowledge of code deployment.
Should have solid experience using AWS core services: EC2, S3, Redshift, etc
Knowledge of SAP database systems is big plus
Must have knowledge on bigdata eco system leveraging AWS services
Must have working knowledge on AWS Glue and spark
Familiarity with other technologies such as Data Virtualization Services, Okta, Sagemaker, API Gateways, Kubernetes, Dockerization and microservices
Preferred Job Requirement:
Familiarity with open search
Familiarity with Devops
Knowledge on delta lake
Job Type: Contract
Schedule:
8 hour shift
Ability to commute/relocate:
Lehi, UT: Reliably commute or planning to relocate before starting work (Required)
Experience:
AWS: 1 year (Preferred)
Work Location: One location
Show Less
Report",$85T - $1L,51 to 200 Employees,Company - Private,Information Technology,Information Technology Support Services,2008,Unknown / Non-Applicable
Tekrek solutions Inc,Azure Data Engineer,Remote,"Position: Azure Data Engineer
Location: Remote
Duration: 06+ 12 months + Extendable
Job Description:
Candidate with experience as Data Architect, Data Engineering, or any related role to Data solutions.
Candidate should have a proven track record in leading and delivering Azure Data Analytics solutions.
Good experience in Developing Advanced Analytics solutions, Applying Data Visualization.
Strong experience in SQL
Hands-on experience solutioning and implementing analytical capabilities using the Azure Data Analytics platform including, Azure Data Factory, Azure Logic Apps, Azure Functions, Azure Storage, Azure SQL Data Warehouse/Synapse, Azure Data Lake.
Candidate should be capable of supporting in all the phases of Analytical Development from identification of key business questions, through Data Collection and ETL.
Strong knowledge of Data Modelling and Data Design is required for the role.
Job Type: Contract
Benefits:
Dental insurance
Health insurance
Vision insurance
Schedule:
8 hour shift
Experience:
Informatica: 1 year (Required)
SQL: 1 year (Required)
Data warehouse: 1 year (Required)
Azure: 1 year (Required)
Synapse: 1 year (Required)
Pyspark: 1 year (Required)
Data modeling: 1 year (Required)
data design: 1 year (Required)
Work Location: Remote
Show Less
Report",#N/A,Unknown,Company - Public,#N/A,#N/A,#N/A,Unknown / Non-Applicable
