id,company,job title,location,job description,salary estimate,company_size,company_type,company_sector,company_industry,company_founded,company_revenue
22,"Bloom Insurance
3.4",Data Engineer I,Remote,"Data Engineer I
To support internal and external clients via processing and handling of data. To generate data solutions for ongoing immediate day to day business needs.

Essential Functions
Day to day functions include the following:
Design data models and develop database structures in Microsoft SQL server.
Write various database objects like stored procedures, functions, views, triggers for various front end applications.
Write SQL scripts, create SQL agent jobs to automate tasks like data importing, exporting, cleansing tasks.
Create database deployment packages for deploying changes.
Identify & repair inconsistencies in data, database tuning, query optimization.
Able to generate ad hoc data on demand.
Able to identify best practices, documentation, communicate all aspects of projects in a clear, concise manner
Develop simple SSIS packages to perform various ETL functions including data cleansing, manipulating, importing, exporting.
Develop & maintain client facing reports by using various data manipulation techniques in SSRS and Visual Studio.
Documentation
Optimization recommendations
Day to day troubleshooting
.NET Programming as needed

Education/Experience
BA, BS, or Masters in computer science/related field preferred or an equivalent combination of education and experience derived from at least 2 years of professional work experience
Solid experience with various versions of MS SQL Server and TSQL programming
Microsoft Certified DBA a plus

Skills/Knowledge
Strong experience in writing efficient SQL code
Working knowledge of SQL Server Management Studio (SSMS)
Knowledge of SQL Server Reporting Services (SSRS)
Knowledge of SQL Server Integration Services (SSIS)
Knowledge of Red Gate DBA Tool Belt (SQL Compare, SQL Data Compare, SQL Source Control) a plus
Knowledge of data science technologies is a plus
Clear, concise communication skills, excellent organizational skills
Highly self-motivated and directed
Keen attention to detail
High level of work intensity in a team environment
High integrity and values-driven
Eager for professional development
Experience and understanding of source control management a plus
What We Offer
At Bloom, we offer an engaging, supportive work environment, great benefits, and the opportunity to build the career you always wanted. Benefits of working for Bloom include:
Competitive compensation
Comprehensive health benefits
Long-term career growth and mentoring
About Bloom
As an insurance services company licensed in 48 contiguous U.S. states, Bloom focuses on enabling health plans to increase membership and improve the enrollee experience while reducing costs. We concentrate on two areas of service: technology services and call center services and are committed to ensuring our state-of-the-art software products and services provide greater efficiency and cost savings to clients.
Ascend Technology ™
Bloom provides advanced sales and enrollment automation technology to the insurance industry through our Ascend ™. Our Ascend™ technology platform focuses on sales automation efficiencies and optimizing the member experience from the first moment a prospect considers a health plan membership.

Bloom is proud to be an Equal Opportunity employer. We do not discriminate based upon race, religion, color, national origin, sexual orientation, gender, gender identity, gender expression, transgender status, sexual stereotypes, age, status as a protected veteran, status as an individual with a disability, or other applicable legally protected characteristics. We also consider qualified applicants with criminal histories, consistent with applicable federal, state and local law.
Show Less
Report",#N/A,201 to 500 Employees,Company - Private,Insurance,Insurance Agencies & Brokerages,2006,$25 to $50 million (USD)
23,Adroit Software Inc,Data Engineer,"Smithfield, RI","Role Description
The team is hiring a Lead Developer and you will be responsible for working with Architecture, Data Governance and Business Intelligence teams to support Fidelity’s or vendor Data Management tools and evaluate new technologies. You will possess a passion for continuous learning and upskilling in new technologies and a flair for exploring.
Required Qualifications
ETL developer with Informatica
Strong SQL – Snowflake and SQL Server will be a huge plus
Strong Analysis skills
Working knowledge of Unix OS /Shell scripting
Basic Python knowledge is required
Good working knowledge of Control-M/Automation tools.
Some experience in DevOps
Production Support will be required – one week every 3 months
Excellent interpersonal and communication skills
Excellent collaboration skills to work with multiple teams in the organization
Additional Experience
Experience with Metadata management solutions / Data lineage is a plus
Learn New technologies and evaluate new products, participating in Proof of Concepts (POCs) is a plus
Vendor management is a plus
Some QA/Testing experience is a plus
Some Kubernetes / Docker experience is a plus
Strong communication and presentation skills
COVID Work Policy
Safety is our top priority. Once we can be together in person with fewer safety measures, this role will follow our dynamic working approach. You’ll be spending some of your time onsite depending on the nature and needs of your role.
Dynamic Working – Post Pandemic
Our aim is to combine the best of working offsite with coming together in person. For most teams this means a consistent balance of working from home and office that supports the needs of your role, experience level, and working style.
Your success and growth is important to us, so you’ll want to enjoy the benefits of coming together in person – face to face learning and training, quality time with your manager and teammates, building your career network, making friends, and taking full advantage of cultural and social experiences Fidelity provides for you.
Description
Fidelity TalentSource is your destination for discovering your next temporary role at Fidelity Investments. We are currently sourcing for a Data Engineer to work at Fidelity's location in Smithfield, RI, Durham, NC or Westlake, TX!
Fidelity Brokerage Technology (FBT) enables business partners to win in their respective marketplaces by designing, building and maintaining the technology platforms and products of Fidelity Institutional, Personal Investing and Workplace Investing.
FBT Business Intelligence Team is looking for a Lead Technologist to support our Data Management Tools and evaluating new Technologies in support of Architecture directives!
Role Description
The team is hiring a Lead Developer and you will be responsible for working with Architecture, Data Governance and Business Intelligence teams to support Fidelity’s or vendor Data Management tools and evaluate new technologies. You will possess a passion for continuous learning and upskilling in new technologies and a flair for exploring.
Required Qualifications
ETL developer with Informatica
Strong SQL – Snowflake and SQL Server will be a huge plus
Strong Analysis skills
Working knowledge of Unix OS /Shell scripting
Basic Python knowledge is required
Good working knowledge of Control-M/Automation tools.
Some experience in DevOps
Production Support will be required – one week every 3 months
Excellent interpersonal and communication skills
Excellent collaboration skills to work with multiple teams in the organization
Additional Experience
Experience with Metadata management solutions / Data lineage is a plus
Learn New technologies and evaluate new products, participating in Proof of Concepts (POCs) is a plus
Vendor management is a plus
Some QA/Testing experience is a plus
Some Kubernetes / Docker experience is a plus
Strong communication and presentation skills
COVID Work Policy
Safety is our top priority. Once we can be together in person with fewer safety measures, this role will follow our dynamic working approach. You’ll be spending some of your time onsite depending on the nature and needs of your role.
Dynamic Working – Post Pandemic
Our aim is to combine the best of working offsite with coming together in person. For most teams this means a consistent balance of working from home and office that supports the needs of your role, experience level, and working style.
Your success and growth is important to us, so you’ll want to enjoy the benefits of coming together in person – face to face learning and training, quality time with your manager and teammates, building your career network, making friends, and taking full advantage of cultural and social experiences Fidelity provides for you.
Special Instructions
MUST HAVE: ETL Informatica, SQL, snowflake, basic python
ETL developer with Informatica
Strong SQL – Snowflake and SQL Server
Working knowledge of Unix OS /Shell scripting
Basic Python knowledge is required
Good working knowledge of Control-M/Automation tools.
Some experience in DevOps
Production Support will be required – one week every 3 months
Pre-Screen Questions:
1. What's the difference between a global and local variable? How would you update a global variable in a function?
Global Variable - is defined outside of any function and can be accessed anywhere in the current python file
Local Variable - is defined inside a function and can only be accessed within that same function.
Update global Variable: After declaring the function, you would then use the ""global"" keyword followed by the variable name. This would allow you to edit the global variable inside a function.
Job Type: Contract
Salary: $60.00 - $80.00 per hour
Benefits:
401(k)
Dental insurance
Health insurance
Health savings account
Parental leave
Vision insurance
Compensation package:
1099 contract
Hourly pay
Experience level:
10 years
11+ years
Schedule:
8 hour shift
Monday to Friday
Ability to commute/relocate:
Smithfield, RI 02917: Reliably commute or planning to relocate before starting work (Preferred)
Application Question(s):
W2 Only No C2c
Education:
Bachelor's (Preferred)
Experience:
Brokerage (Preferred)
SQL (Preferred)
Informatica (Preferred)
Data warehouse (Preferred)
Snowflake (Preferred)
python (Preferred)
Willingness to travel:
100% (Preferred)
Work Location: One location
Show Less
Report",$60.00 - $80.00 Per hour(Employer Est.),#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
24,"Jetty
4.2",Data Engineer,"New York, NY","Welcome to Jetty, the financial services platform on a mission to make renting a home more affordable and flexible. We've built multiple financial products that benefit both renters and property managers - and we're just getting started.

As a member of the Jetty engineering team, you're passionate about building fintech products that provide value to our customers and to Jetty. You are motivated by designing engineering systems around complex business problems. You love to learn, take on challenges, and are empowered in a fast-paced and transparent culture. You're comfortable finding the right tool or pattern for the job, and advocating for improvements to the way we work.

As a Data Engineer, your goal is to cultivate a data-informed culture and create insights that will be leveraged across the entire organization. You have experience executing at a high level, solving complex problems, and delivering solutions with real business impact - and you're excited by the opportunity to apply those principles to a new, best in class function.

Role & Responsibilities
Build / Support our modern data stack (Snowflake / Fivetran / DBT / Tableau)
Implement the Five Pillars of Data Observability
Write ELT code using modern software engineering practices (Git, automated testing and deployments)
Build and maintain data pipelines to support various business processes and reporting (Fivetran / AWS Lambdas)
Document our data models in a user friendly way for our business stakeholders
Partner with the Product Engineering team to ensure we are capturing the data we need from our applications for analytics and to iterate on our development practices for the data analytics team.
Be an enthusiastic evangelist of our modern data stack (Fivetran / DBT / Snowflake / Tablea)
Be the resident resource on building standard reports and BI dashboards
Experience & Qualifications
4+ years of experience working in a data / analytics engineering role
High proficiency in Snowflake / Fivetran / dbt / Tableau
High proficiency in SQL and Python
Ability to collect, interpret, and synthesize inputs from various parts of the business into data model requirements
Ability to simplify without being simplistic - ability to communicate complex topics and actionable insights in a compelling way that can be understood by a variety of audiences
Inherent curiosity and analytical follow-through — you can't help but ask ""why?"" and love using data and logic to explore potential solutions
Ability to balance ""Rigor"" and ""Scrappiness"" — you know the difference between 80/20 and giving something 110%; as well as when each is appropriate.
Deep understanding of the first and second order effects of reporting — you know the power of presenting the right data to the right people at the right time
Experience in a data/analytics function at a high-growth startup managing multiple stakeholders and delivering actionable insights
About Jetty

At Jetty, we know renting a home can be a financial challenge. That's why we're on a mission to make renting accessible to everyone. Jetty offers four financial products designed to help our members every step of the renting process: Jetty Deposit, a low-cost security deposit product that dramatically reduces move-in costs; Jetty Rent, a flexible rent payment program to eliminate pricey late rent fees; Jetty Credit, a credit building service that helps renters build credit just by paying rent; and Jetty Protect, an affordable renters insurance product that provides comprehensive coverage in just a few clicks.

Jetty has raised multiple rounds of venture capital from investors including Khosla Ventures, Ribbit Capital, Citi, Valar, and strategic investors. We've built a highly collaborative team working remotely around the country, and we believe in finding the best talent—regardless of where they live. To learn more about life at Jetty, visit jetty.com/careers.

Jetty is firmly committed to building a team as diverse as our Members. We are proud to provide equal employment opportunities for all candidates regardless of race, ancestry, citizenship, sex, gender identity or expression, religion, sexual orientation, marital status, age, disability, or veteran status.

Benefits & Perks
Health (with HSA and FSA options), dental, and vision insurance through Aetna & MetLife
401(k) retirement savings program
Optional life and disability coverage
20 days of PTO + 12 holidays, ""Jetty Winter Break,"" and flexible sick days
Generous parental leave policy
Flexible remote work in any US location (keeping east coast hours)
Stipends to cover WFH set-up, childcare, phone/internet bill, and optional co-working space
Show Less
Report",$97T - $1L (Glassdoor Est.),51 to 200 Employees,Company - Private,Insurance,Insurance Agencies & Brokerages,2015,Unknown / Non-Applicable
25,"DevCare Solutions
3.7",Data Engineer,"Columbus, OH","Identifies data sources, develop and maintain data architectures, constructs data catalog and data decomposition diagrams, provide data flow diagrams and documents the process.
Develop conclusions and articulate implications of advanced data analytics results
Ability to data mining/sourcing to be self-sufficient in the production of valuation and the analysis of business cases and ad-hoc requests.
Ability to extract data from multiple data resources; remove corrupted data and fixing coding errors and related problems
Ability to perform analysis to assess the quality and meaning of data; filter data by reviewing reports and performance indicators to identify and correct ode problems.
ability to create compelling data visualizations and communicate insights effectively to technical and non-technical stakeholders is essential for data scientists.
Using tools to identify, analyze, and interpret patterns and rends in complex data sets could be helpful for the diagnosis and prediction
Preparing reports for the management stating trends, patterns, and predictions using relevant data in visualization.
Work with developer and management to identify process improvement opportunities, propose system modification, and devise data governance strategies.
7+ years of Oracle/SQL Database
7+ years of SQL script
7+ years of API designs in RESTful, XML, XSLT, JSON, jQuery.
5+ years of Python and/or other ETL tools
5+ years of SQL/T-SQL
5+ years of PL/SQL Experience
3+ years of Alteryx, Cloudera, Snoflake
3+ years of PowerBI, Denodo
Excellent analytical skills, attention to detail, and problem-solving skills.
Proven ability to handle multiple tasks and projects simultaneously.
Familiar with the Agile Methodology.
Working experience in Database & application performance tuning.
Must possess excellent written and oral communication skills.
Working experience in delivering expected results in unstructured environments.
Works productively and effectively independently without significant management oversight.
Job Types: Part-time, Contract
Salary: $55.00 - $65.00 per hour
Benefits:
Dental insurance
Health insurance
Vision insurance
Schedule:
Monday to Friday
Work Location: Hybrid remote in Columbus, OH 43081
Show Less
Report",$55.00 - $65.00 Per hour(Employer Est.),51 to 200 Employees,Company - Private,Information Technology,Information Technology Support Services,2005,Unknown / Non-Applicable
26,KesarWeb,Data Engineer,"Los Angeles, CA","We are searching for an accountable, multitalented data engineer to facilitate the operations of our data scientists. The data engineer will be responsible for employing machine learning techniques to create and sustain structures that allow for the analysis of data while remaining familiar with dominant programming and deployment strategies in the field. During various aspects of this process, you should collaborate with coworkers to ensure that your approach meets the needs of each project.
To ensure success as a data engineer, you should demonstrate flexibility, creativity, and the capacity to receive and utilize constructive criticism. A formidable data engineer will demonstrate unsatiated curiosity and outstanding interpersonal skills.
Data Engineer Responsibilities:
Liaising with coworkers and clients to elucidate the requirements for each task.
Conceptualizing and generating infrastructure that allows big data to be accessed and analyzed.
Reformulating existing frameworks to optimize their functioning.
Testing such structures to ensure that they are fit for use.
Preparing raw data for manipulation by data scientists.
Detecting and correcting errors in your work.
Ensuring that your work remains backed up and readily accessible to relevant coworkers.
Remaining up-to-date with industry standards and technological advancements that will improve the quality of your outputs.
Data Engineer Requirements:
Bachelor's degree in data engineering, big data analytics, computer engineering, or related field.
Master's degree in a relevant field is advantageous.
Proven experience as a data engineer, software developer, or similar.
Expert proficiency in Python, C++, Java, R, and SQL.
Familiarity with Hadoop or suitable equivalent.
Excellent analytical and problem-solving skills.
A knack for independence and group work.
Scrupulous approach to duties.
Capacity to successfully manage a pipeline of duties with minimal supervision.
Job Type: Full-time
Pay: $98,000.00 - $106,000.00 per year
Compensation package:
Bonus pay
Performance bonus
Experience level:
1 year
Schedule:
Monday to Friday
Work Location: Remote
Show Less
Report",$98T - $1L (Employer Est.),1 to 50 Employees,Company - Private,#N/A,#N/A,#N/A,Unknown / Non-Applicable
27,"HelloFresh
3.7",Data Engineer,"Grand Prairie, TX","Data Engineer, Hello Fresh

This role can be based out of the following facilities:
NYC, Newark, NJ, Totowa, NJ, Phoenix, AZ, Newnan, GA, Aurora, CO, Irving, TX and Grand Prairie, TX

Job Description
As a Data Engineer, you will work with the Fulfillment Planning Technology team to help build the next generation suite of internal tools that enable Planning and Operations teams to see and act quickly to changing business conditions. The Data Engineer will build scalable data pipelines, infrastructure and tools that power our products and services.
You will …
Work with analysts, engineers and planners to design, build, and maintain efficient, scalable and reliable data pipelines to support our business-critical needs in data ingestion, processing, and analysis
Develop and maintain efficient, scalable and reliable code in Python and SQL
Collaborate with other team members to troubleshoot, perform root cause analysis and optimize existing data pipelines and tools
Work with other team members to ensure effective tool integration with other systems and workflows
At a minimum, you have …
Bachelor’s or Master’s degree in Computer Science, Engineering or related field
2+ years of data engineering experience in Fulfillment, Logistics, Supply Chain, Production, or related field working with physical goods
Strong proficiency in Python and SQL
Experience working with distributed systems, building and maintaining pipelines using cloud technologies (AWS, Snowflake)
Experience in containerization and orchestration (Docker, Kubernetes, Airflow, GCP)
Startup experience a plus

You'll get...
Competitive Salary & 401k company match that vests immediately upon participation
Generous parental leave of 4 weeks & PTO policy, as well as paid holidays off
$0 monthly premium and other flexible health plans
Amazing discounts, including up to 75% off HelloFresh subscription
Flexible shift scheduling & advancement opportunities
Emergency child and adult care services
Snacks & monthly catered lunches
Collaborative, dynamic work environment within a fast-paced, mission-driven company
It is the policy of HelloFresh not to discriminate against any employee or applicant for employment because of race, color, religion, sex, sexual orientation, gender identity, national origin, age, marital status, genetic information, disability or because he or she is a protected veteran.

New York Pay Range
$110,000—$137,500 USD
Colorado Pay Range
$99,200—$124,000 USD
Show Less
Report",$1L - $1L (Employer Est.),10000+ Employees,Company - Public,Personal Consumer Services,Beauty & Wellness,2011,$5 to $10 billion (USD)
28,Jconnect Infotech Inc.,Sr. Data Engineer,"Edison, NJ","Position – Senior Data Engineer
Location – Edison, NJ
Duration – Contract C2C/W2
Job Description:
Big Data (spark/kafka)
PL/SQL
Druid
GKE (Google Kubernetes Engine)
Java development experience – not into coding
Take Druid ingestion and check if everything is going well.
How queries are behaving in prod, optimize it.
Job Type: Contract
Pay: $43.82 - $66.67 per hour
Schedule:
8 hour shift
Ability to commute/relocate:
Edison, NJ 08817: Reliably commute or planning to relocate before starting work (Required)
Experience:
Druid: 1 year (Required)
SQL: 5 years (Required)
Big data: 4 years (Required)
Work Location: One location
Show Less
Report",$43.82 - $66.67 Per hour(Employer Est.),#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
29,"Abarca Health
3.6","COOP, Data Engineer","Miami, FL","What you'll do
In a few words…
Abarca is igniting a revolution in healthcare. We built our company on the belief that with smarter technology we are redefining pharmacy benefits, but this is just the beginning…
At Abarca's company culture centers around embracing a growth mindset, theme of inspiring excellence, and encouraging all to bring their best each day! Our Interns/Coops work on real-world projects in collaboration with teams across Abarca Health, while having fun along the way. You'll be empowered to build community, explore your passions, and achieve your goals. The Internship & Coop programs are designed to encourage bringing solutions and ideas to life while working on cutting-edge technology, while experiencing our culture of community. In this role you will be part of the Business Intelligence team where you will be immersed in the world of healthcare technology, which impact millions of lives.
The fundamentals for the job…
Understand the data structure and meaning in both the source and the target Business Intelligence tools, Tableau and Snowflake
Apply business rules as transformations.
Adapt ELT processes to accommodate changes in source systems and new business user requirements.
Building and unit testing data transformation, source data transport, and population processes for environment
Assisting the Business Intelligence Team in delivering information and analytic solutions to the company's key stakeholders, including members of the various business units, internal/external providers, and internal staff.
Report/Query testing, development using dbt and Snowflake SQL.
What we expect of you
The bold requirements…
Be an active student at least in third year and above enrolled in a bachelor's or master's degree in computer engineering, Computer Science, Software Engineering, or related field.
Must have taken and enjoyed the database class.
You should have previous knowledge of SQL, Database Design, and Stored Procedures.
Knowledge of Business Intelligence designs and practices.
Excellent oral and written communication skills.
Physical requirements…
Must be able to access and navigate each department at the organization's facilities.
Sedentary work that primarily involves sitting/standing.
At Abarca we value and celebrate diversity. Diversity, equity, inclusion, and belonging are guiding principles of Abarca and ensure Abarca's workforce reflects the communities it serves. We are proud to provide equal employment opportunities to all employees and applicants for employment and prohibit discrimination and harassment of any type without regard to race, color, religion, age, sex, national origin, disability status, medical condition, genetic information, protected veteran status, sexual orientation, gender identity or expression, or any other characteristic protected by federal, state, or local laws.
Abarca Health LLC is an equal employment opportunity employer and participates in E-Verify. ""Applicant must be a United States' citizen. Abarca Health LLC does not sponsor employment visas at this time""
The above description is not intended to limit the scope of the job or to exclude other duties not mentioned. It is not a final set of specifications for the position. It's simply meant to give readers an idea of what the role entails.
#LI-VP1 #LI-REMOTE
Show Less
Report",$71T - $1L (Glassdoor Est.),501 to 1000 Employees,Company - Private,Information Technology,Information Technology Support Services,2005,Unknown / Non-Applicable
30,"Zillion Technologies
3.8",Sr. Data Engineer (ETL development),"Richmond, VA","Job Title: Sr. Data Engineer - Hybrid
Location: Richmond Virginia 23060
JOB DESCRIPTION
Position Description
The Senior Data Engineer is a senior technical role in supporting the information management architecture of the Enterprise Data Warehouse solution. The role will be actively responsible for designing the data acquisition, data staging, loading, and transformation into the Enterprise Data Warehouse. This role will be a technical expert and resource collaborating with the Data Architect, Software Engineers, Product Owners, and Project Team to develop and deliver data storage and movement solutions and to organize and oversee the loading of data into the related systems. Additionally, the Senior Data Engineer will bridge gaps related to Business Intelligence functions, supporting the analytics produced by the organization, and providing expertise tying data movement together with data consumption.
Position Accountabilities:
Design and develop complex ETL solutions using data warehouse design best practices
Analyze data requirements, data models, and determine the best methods in extracting, transforming and loading the data into the data staging, warehouse and other system integration projects
Create complex business intelligence reports and data visualizations using tools like Python, Tableau, and PowerBI
Analyze business requirements and outline solutions
Validate code against business and architectural requirements
Create and test prototypes
Troubleshoot applications and resolve defects
Work within an agile framework
Plan, Prioritize and Deliver Resilient, Scalable technical solutions
Communicate ideas in both technical and user friendly language
Update and maintain product documentation
Escalate issues and impediments in a timely manner
Work within established framework and processes (Agile)
Collaboratively work with Agile teams, as well as independently
Perform and coordinate unit and system integration testing when required
Participate in peer programming, mobbing, hackathons, and code reviews as required
Support and occasionally lead business intelligence efforts, data analytics efforts, and data governance/quality efforts.
Position Qualifications:
Education & Experience:
A Bachelor’s Degree or a combination of equivalent work experience
7+ years of previous experience in information technology, preferably within the financial services or other highly-regulated industry
5+ years ETL development experience
3+ years of Business Intelligence, Data Analytics, or Data Science experience
3+ years of experience in an Agile environment
Knowledge of ETL and data warehouse design
Experience using Python for data movement/manipulation
Extensive experience with data dictionaries, data analysis and relational databases
Experience with a business intelligence toolset
Preferred Qualifications:
A Master’s Degree in a technology area of study; preferably in Computer Science, MIS or Analytics.
Knowledge & Skills:
Creative problem solver with excellent communication, leadership and collaboration skills.
Advanced decision making and problem solving skills
Business acumen, knowledge and professionalism
Proactive leadership style and a self-starter and strong attention to detail
A clear and familiar understanding of the concepts and best practices of data warehouse ETL design
Demonstrable expertise with RDBMS or Big Data technology
Foundational Database administration skills; Broad DW skills including Semantic Layer, Basic BI Development and basic data modeling & data analysis
Methodical and structured approach to design and development.
Delivery focused with the ability to prioritize activities.
Flexible team player within a small, multi-disciplinary team.
Job Types: Full-time, Contract
Pay: $70.00 - $80.00 per hour
Experience level:
8 years
Schedule:
8 hour shift
Monday to Friday
Ability to commute/relocate:
Richmond, VA: Reliably commute or planning to relocate before starting work (Required)
Application Question(s):
Work Authorization?
Experience:
ETL development: 5 years (Preferred)
Business Intelligence, Data Analytics, or Data Science: 3 years (Preferred)
Agile environment: 3 years (Preferred)
Work Location: One location
Show Less
Report",$70.00 - $80.00 Per hour(Employer Est.),201 to 500 Employees,Company - Private,Management & Consulting,Business Consulting,#N/A,$5 to $25 million (USD)
31,Talent Groups,100% REMOTE // GCP Data Engineer,Remote,"100% REMOTE
GCP Data Engineer
Full time
GCP BQ query knowledge with handson skill of Hana (DWH)
Requirement is to migrate HANA Native objects to GCP BQ
DWH handon with details surrogate keys, SCD and various types, referential integrity etc
SQL (Joins, tables, ranks)
Python (file handling (open, read, remove etc), database connections, lists, data type conversions
GCP experience (BigQuery, Pub Sub, GCS), it is a plus with migration knowledge
Job Types: Full-time, Contract
Pay: $140,000.00 - $150,000.00 per year
Benefits:
401(k)
Dental insurance
Health insurance
Paid time off
Schedule:
8 hour shift
Monday to Friday
Work Location: Remote
Speak with the employer
+91 847-474-3706
Show Less
Report",$1L - $2L (Employer Est.),Unknown,Company - Private,Human Resources & Staffing,"Staffing, Recruitment & Subcontracting",#N/A,Unknown / Non-Applicable
32,"Kairos Technologies Inc
4.5",Sr Data Engineer with AWS (Hybrid Onsite),"Boston, MA","Greetings from Kairos Technologies Inc,
Role: Sr Data Engineer with AWS
Location: Boston, MA (Hybrid Onsite)
Duration: 12 months
Experience: 9+ yrs.
Hybrid – Weekly once/ twice need to work from Office
RESPONSIBILITIES
Familiarity with data lake, data warehouse or data lake environments and related topics . Has a proven track record to work with vendors to deploy external SaaS solutions and integrate with existing systems.
In depth with data lakes/ data environments including ETL (PySpark), data Catalogs (Glue, Alation), API interfaces, Cloud data warehouses such as Redshift, Querying engines such as Trino.
Agile approaches to building cloud native solutions using CI/CD, containers, Kubernetes, GitOPS, etc..
Strong automation and development skills in terraform, CloudFormation, and other languages like Python, and bash.
8+ years of total IT experience, with at least 4 years in AWS services such as EMR, EC2, S3, IAM, Glue andRedshift and 2+ years of experience in Infrastructure as code technologies like Terraform, CloudFormation.
4+ years of Python, SQL experience is mandatory.
Thanks& Regards,
K Hemanth Kumar | Sr IT Technical Recruiter | Kairos Technologies Inc
Job Type: Contract
Pay: $65.00 - $70.00 per hour
Schedule:
8 hour shift
Work Location: Hybrid remote in Boston, MA 02108
Speak with the employer
+91 9728535149
Show Less
Report",$65.00 - $70.00 Per hour(Employer Est.),51 to 200 Employees,Company - Private,Information Technology,Information Technology Support Services,2003,$5 to $25 million (USD)
33,"Tekrek solutions Inc
1.0",Azure Data Engineer,Remote,"Position: Azure Data Engineer
Location: Remote
Duration: 06+ 12 months + Extendable
Job Description:
Candidate with experience as Data Architect, Data Engineering, or any related role to Data solutions.
Candidate should have a proven track record in leading and delivering Azure Data Analytics solutions.
Good experience in Developing Advanced Analytics solutions, Applying Data Visualization.
Strong experience in SQL
Hands-on experience solutioning and implementing analytical capabilities using the Azure Data Analytics platform including, Azure Data Factory, Azure Logic Apps, Azure Functions, Azure Storage, Azure SQL Data Warehouse/Synapse, Azure Data Lake.
Candidate should be capable of supporting in all the phases of Analytical Development from identification of key business questions, through Data Collection and ETL.
Strong knowledge of Data Modelling and Data Design is required for the role.
Job Type: Contract
Benefits:
Dental insurance
Health insurance
Vision insurance
Schedule:
8 hour shift
Experience:
Informatica: 1 year (Required)
SQL: 1 year (Required)
Data warehouse: 1 year (Required)
Azure: 1 year (Required)
Synapse: 1 year (Required)
Pyspark: 1 year (Required)
Data modeling: 1 year (Required)
data design: 1 year (Required)
Work Location: Remote
Show Less
Report",#N/A,Unknown,Company - Public,#N/A,#N/A,#N/A,Unknown / Non-Applicable
34,"Numentica LLC
4.3",AWS Principal Data Engineer,"Lehi, UT","What you will do:
Be responsible for leading the data engineering, analysis, architecture, design, and development of cloud database solutions
Be a technical team member who designs and develops data platform solutions
Uses common data architecture practices to architect, design, and develop data/analytic platforms (e.g. data warehouses, data lakes) that are used to produce analytic products, like reports, dashboards, ML models, etc
Be responsible for moving, integrating, and cleansing data
Work on highly collaborative agile teams, can break down their work from stories into tasks, identify dependencies, and test and confirm acceptance criteria of work
As a Principal in our business you will:Be a self-starter, effective in breaking down large problems into smaller ones, and eager to regularly share what you learn with others within your projects and in the broader team
Supports people processes in capability / account (e.g., talent acquisition, onboarding, staffing, performance management)
Expand trusted relationships beyond primary customers and teams growing and managing professional network
What you should have:
7+ years of experience in leading data engineering work with minimum 3 years of experience as Lead / Principal Architect role for designing database systems for transactional and analytical workload
Strong analytical skills and advanced SQL knowledge.
At least 4 plus years of hands on experience with AWS cloud services: EC2, EMR, Athena
Experience extracting/querying/joining large data sets at scale.
Selecting the appropriate AWS service based on data, database, or security requirements
Identifying appropriate use of AWS architectural best practices
Estimating AWS costs and identifying cost control mechanisms
Build and design secured reference architecture for all in-cloud and hybrid environments. Minimum Job Requirement:
Must be familiar working with CI tool like Jenkins.
Must have good knowledge of code deployment.
Should have solid experience using AWS core services: EC2, S3, Redshift, etc
Knowledge of SAP database systems is big plus
Must have knowledge on bigdata eco system leveraging AWS services
Must have working knowledge on AWS Glue and spark
Familiarity with other technologies such as Data Virtualization Services, Okta, Sagemaker, API Gateways, Kubernetes, Dockerization and microservices
Preferred Job Requirement:
Familiarity with open search
Familiarity with Devops
Knowledge on delta lake
Job Type: Contract
Schedule:
8 hour shift
Ability to commute/relocate:
Lehi, UT: Reliably commute or planning to relocate before starting work (Required)
Experience:
AWS: 1 year (Preferred)
Work Location: One location
Show Less
Report",$85T - $1L (Glassdoor Est.),51 to 200 Employees,Company - Private,Information Technology,Information Technology Support Services,2008,Unknown / Non-Applicable
